symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,split,regime_label,universe_status,is_delisted
ECDA-202603,mean_reversion_5d,2025-07-31,2025-08-01,2025-08-15,30.019999,29.640001,-0.3141432456935629,-0.0126581616475069,0.05,-0.062658161647507,0.1,-0.0062658161647507,False,False,oos,TREND_UP_LOW_VOL,delisted,True
ABVC,mean_reversion_5d,2025-07-31,2025-08-01,2025-08-15,2.39,3.3,-0.2615384615384616,0.3807531380753137,0.05,0.3307531380753137,0.1,0.0330753138075313,False,False,oos,TREND_UP_LOW_VOL,active,False
ABSI,mean_reversion_5d,2025-07-31,2025-08-01,2025-08-15,2.75,2.93,-0.1937321937321936,0.0654545454545454,0.05,0.0154545454545454,0.1,0.0015454545454545,False,False,oos,TREND_UP_LOW_VOL,active,False
ABVX,momentum_60d,2025-08-28,2025-08-29,2025-09-29,82.0,83.33,9.54780361757106,0.0162195121951218,0.05,-0.0337804878048781,0.1,-0.0033780487804878,False,False,oos,RECOVERY_BOUNCE,active,False
CDTX-202601,momentum_60d,2025-08-28,2025-08-29,2025-09-29,65.36,95.26,1.799570815450644,0.457466340269278,0.05,0.407466340269278,0.1,0.0407466340269278,False,False,oos,RECOVERY_BOUNCE,delisted,True
ABCL,momentum_60d,2025-08-28,2025-08-29,2025-09-29,4.3,4.87,0.8614718614718613,0.1325581395348838,0.05,0.0825581395348838,0.1,0.0082558139534883,False,False,oos,RECOVERY_BOUNCE,active,False
DVAX-202602,mean_reversion_5d,2025-08-28,2025-08-29,2025-09-15,10.3,9.36,-0.0621004566210044,-0.0912621359223302,0.05,-0.1412621359223302,0.1,-0.014126213592233,False,False,oos,RECOVERY_BOUNCE,delisted,True
ABSI,mean_reversion_5d,2025-08-28,2025-08-29,2025-09-15,2.47,2.62,-0.0351562499999998,0.0607287449392712,0.05,0.0107287449392712,0.1,0.0010728744939271,False,False,oos,RECOVERY_BOUNCE,active,False
ABVX,momentum_60d,2025-09-26,2025-09-29,2025-10-27,83.5,94.84,9.675257731958764,0.135808383233533,0.05,0.085808383233533,0.1,0.0085808383233533,False,False,oos,TREND_UP_LOW_VOL,active,False
ABXXF,momentum_60d,2025-09-26,2025-09-29,2025-10-27,22.8,24.525,1.413846003059655,0.075657894736842,0.05,0.025657894736842,0.1,0.0025657894736842,False,False,oos,TREND_UP_LOW_VOL,active,False
ABAT,momentum_60d,2025-09-26,2025-09-29,2025-10-27,4.83,5.39,1.3297872340425534,0.1159420289855071,0.05,0.065942028985507,0.1,0.0065942028985507,False,False,oos,TREND_UP_LOW_VOL,active,False
ACAD,mean_reversion_5d,2025-09-26,2025-09-29,2025-10-13,21.27,20.06,-0.138001638001638,-0.0568876351669017,0.05,-0.1068876351669017,0.1,-0.0106887635166901,False,False,oos,TREND_UP_LOW_VOL,active,False
EB-202603,mean_reversion_5d,2025-09-26,2025-09-29,2025-10-13,2.71,2.42,-0.1151315789473684,-0.1070110701107011,0.05,-0.1570110701107011,0.1,-0.0157011070110701,False,False,oos,TREND_UP_LOW_VOL,delisted,True
AAOI,mean_reversion_5d,2025-09-26,2025-09-29,2025-10-13,26.3,29.1,-0.1110727837185235,0.1064638783269962,0.05,0.0564638783269962,0.1,0.0056463878326996,False,False,oos,TREND_UP_LOW_VOL,active,False
AAL,mean_reversion_5d,2025-09-26,2025-09-29,2025-10-13,11.4,11.74,-0.0915662650602409,0.0298245614035088,0.05,-0.0201754385964911,0.1,-0.0020175438596491,False,False,oos,TREND_UP_LOW_VOL,active,False
ACH,mean_reversion_5d,2025-09-26,2025-09-29,2025-10-13,4.79,4.59,-0.0896946564885496,-0.0417536534446764,0.05,-0.0917536534446764,0.1,-0.0091753653444676,False,False,oos,TREND_UP_LOW_VOL,active,False
